Locality,Cluster Full Name,Cluster Name,Region,Subregion,Grouping,Milestone,Reservoir,Associated
,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adelanto,CA-SW 05 Victorville,Victorville,CA,SW,San Gabriel Valley,M2,,
Agoura Hills,CA-SW 17 Thousand Oaks,Thousand Oaks,CA,SW,Los Angeles,M3,,
Agua Caliente Indian Reservation,CA-SE 02 Coachella Valley,Coachella Valley,CA,SE,San Diego,M2,,
Alameda,CA-NC 08 East Bay,East Bay,CA,NC,East Bay,M3,Reservoir,Associated
Alameda County East,CA-NC 02 Alameda County Central (Pleasanton),Alameda County Central (Pleasanton),CA,NC,East Bay,M2,,
Alameda County West,CA-NC 03 Alameda County South (Fremont),Alameda County South (Fremont),CA,NC,East Bay,M2,,
Albany,CA-NC 08 East Bay,East Bay,CA,NC,East Bay,M3,Reservoir,Associated
Alhambra,CA-SW 06 San Gabriel Valley,San Gabriel Valley,CA,SW,San Gabriel Valley,M3,Reservoir,Associated
Aliso Viejo,CA-SE 05 Orange County South,Orange County South,CA,SE,San Diego,M3,,
Alpine County,CA-NI 08 Tuolumne-Calaveras Counties,Tuolumne-Calaveras Counties,CA,NI,Fresno,M1,,
Altadena,CA-SW 06 San Gabriel Valley,San Gabriel Valley,CA,SW,San Gabriel Valley,M3,Reservoir,Associated
Amador City,CA-NI 08 Tuolumne-Calaveras Counties,Tuolumne-Calaveras Counties,CA,NI,Fresno,M1,,
Amador County,CA-NI 08 Tuolumne-Calaveras Counties,Tuolumne-Calaveras Counties,CA,NI,Fresno,M1,,
American Canyon,CA-NC 06 Napa County,Napa County,CA,NC,East Bay,M1,,
Anaheim,CA-SE 21 Orange County North,Orange County North,CA,SE,San Diego,M3,,
Anderson,CA-NI 17 Redding-Red Bluff,Redding-Red Bluff,CA,NI,Sacramento,M2,,
Angels Camp,CA-NI 08 Tuolumne-Calaveras Counties,Tuolumne-Calaveras Counties,CA,NI,Fresno,M1,,
Antioch,CA-NC 16 Contra Costa County East (Concord),Contra Costa County East (Concord),CA,NC,East Bay,M3,,
Apple Valley,CA-SW 05 Victorville,Victorville,CA,SW,San Gabriel Valley,M2,,
Arcadia,CA-SW 06 San Gabriel Valley,San Gabriel Valley,CA,SW,San Gabriel Valley,M3,Reservoir,Associated
Arcata,CA-NC 20 Humboldt County,Humboldt County,CA,NC,East Bay,M2,,
Arroyo Grande,CA-SW 27 San Luis Obispo County,San Luis Obispo County,CA,SW,Los Angeles,M2,,
Artesia,CA-SW 32 Long Beach,Long Beach,CA,SW,Los Angeles,M2,,
Arvin,CA-SW 03 Bakersfield,Bakersfield,CA,SW,Los Angeles,M2,,
Atascadero,CA-SW 27 San Luis Obispo County,San Luis Obispo County,CA,SW,Los Angeles,M2,,
Atherton,CA-NC 04 Santa Clara County West,Santa Clara County West,CA,NC,Santa Clara County West,M3,Reservoir,
Atwater,CA-NI 06 Merced County,Merced County,CA,NI,Fresno,M2,,
Auburn,CA-NI 11 Placer County,Placer County,CA,NI,Sacramento,M2,,
Augustine Reservation,CA-SE 02 Coachella Valley,Coachella Valley,CA,SE,San Diego,M2,,
Avalon,CA-SW 31 South Bay,South Bay,CA,SW,Los Angeles,M2,,
Avenal,CA-NI 02 Exeter-Visalia,Exeter-Visalia,CA,NI,Fresno,M2,,
Azusa,CA-SW 10 Claremont,Claremont,CA,SW,San Gabriel Valley,M2,,
Bakersfield,CA-SW 03 Bakersfield,Bakersfield,CA,SW,Los Angeles,M2,,
Baldwin Park,CA-SW 10 Claremont,Claremont,CA,SW,San Gabriel Valley,M2,,
Banning,CA-SW 04 San Bernardino,San Bernardino,CA,SW,San Gabriel Valley,M2,,
Barona Reservation,CA-SE 14 East San Diego County,East San Diego County,CA,SE,San Diego,M2,,
Barstow,CA-SW 05 Victorville,Victorville,CA,SW,San Gabriel Valley,M2,,
Beaumont,CA-SW 04 San Bernardino,San Bernardino,CA,SW,San Gabriel Valley,M2,,
Bell,CA-SW 30 Whittier,Whittier,CA,SW,San Gabriel Valley,M2,,
Bell Gardens,CA-SW 30 Whittier,Whittier,CA,SW,San Gabriel Valley,M2,,
Bellflower,CA-SW 32 Long Beach,Long Beach,CA,SW,Los Angeles,M2,,
